"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1499","#CambioClimático https://t.co/FNzrs0i3hL",FALSE,7,NA,2019-05-24 22:07:57,FALSE,NA,"1132045598251782144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elquintopoder",5,FALSE,FALSE,NA,NA
"1500","RT @senormico: #COP25 #NosCansamos #ClimateStrike #CambioClimático https://t.co/ts8sUnPix5",FALSE,0,NA,2019-05-24 22:07:48,FALSE,NA,"1132045560310112256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TodosPescamos",4,TRUE,FALSE,NA,NA
"1501","RT @pablonegri: En vivo <U+270A><U+0001F333><U+0001F33F><U+0001F30E> 2ª Marcha Global Contra la #CrisisClimática y Ecológica #EmergenciaClimática #CambioClimático #CalentamientoGl…",FALSE,0,NA,2019-05-24 22:07:43,FALSE,NA,"1132045540504551424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gringuitafeliz",18,TRUE,FALSE,NA,NA
"1502","RT @pablonegri: En el Metro Pedro de Valdivia rumbo a donde NINGUNA @KarlaEnAccion me va a prohibir ir (!)... 2ª Marcha Global Contra la #C…",FALSE,0,NA,2019-05-24 22:06:57,FALSE,NA,"1132045345981161472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NodoRiesgo",13,TRUE,FALSE,NA,NA
"1503","Adriana Martín, Coordinadora del Programa Integración de la Agricultura en los Planes Nacionales de Adaptación: La… https://t.co/2PYUewiV4C",FALSE,8,NA,2019-05-24 22:06:49,TRUE,NA,"1132045313378856966",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FAO_Colombia",4,FALSE,FALSE,NA,NA
"1504","RT @AdelanteSevilla: <U+0001F4F8> @estebandemanuel ""No podemos perder ni un minuto para actuar ante el #CambioClimático y todo lo que se nos viene enc…",FALSE,0,NA,2019-05-24 22:06:20,FALSE,NA,"1132045189596549121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","estebandemanuel",10,TRUE,FALSE,NA,NA
"1505","RT @RecortesCero: La candidata a las elecciones europeas, Bibiana Fernández @bibiana_sehnert, desde Santa Cruz de Tenerife apoyando a #Frid…",FALSE,0,NA,2019-05-24 22:06:17,FALSE,NA,"1132045176996859907",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","paulamekicheik",13,TRUE,FALSE,NA,NA
"1506","RT @pablonegri: <U+0001F534> HOY <U+0001F534> a partir de las 6 PM en Plaza Italia y hasta las 9 PM en Plaza Los Héroes... 2ª Marcha Global Contra la #CrisisClim…",FALSE,0,NA,2019-05-24 22:05:36,FALSE,NA,"1132045005714071554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anaximenac",70,TRUE,FALSE,NA,NA
"1507","RT @AmigosTierraEsp: No podemos seguir aguantando la inacción de nuestros gobiernos ante el #CambioClimático, la situación es alarmante. #F…",FALSE,0,NA,2019-05-24 22:03:43,FALSE,NA,"1132044531174596608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OntiverosItzel",6,TRUE,FALSE,NA,NA
"1508","<U+2B07><U+FE0F> Esto es lo que ocurriría si se derritiera todo el hielo del planeta #CambioClimático https://t.co/7Fav4Uird3",FALSE,0,NA,2019-05-24 22:03:20,FALSE,NA,"1132044437440421888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NotaVeraz",0,FALSE,FALSE,NA,NA
"1509","#laplata acompañamos al movimiento  @FridaysForFuture Exigimos a los gobiernos locales acciones frente al… https://t.co/VB2kOBzeai",FALSE,5,NA,2019-05-24 22:03:14,TRUE,NA,"1132044409397231619",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nuevoambiente2",4,FALSE,FALSE,NA,NA
"1510","RT @pablonegri: En vivo <U+270A><U+0001F333><U+0001F33F><U+0001F30E> 2ª Marcha Global Contra la #CrisisClimática y Ecológica #EmergenciaClimática #CambioClimático #CalentamientoGl…",FALSE,0,NA,2019-05-24 22:02:58,FALSE,NA,"1132044344414937089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","natureshakti",18,TRUE,FALSE,NA,NA
"1511","<U+0001F534> AHORA <U+0001F534> desde Plaza Italia y hasta las 9 PM en Plaza Los Héroes... 2ª Marcha Global Contra la #CrisisClimática y… https://t.co/BbBO8IPWQn",FALSE,10,NA,2019-05-24 22:00:44,TRUE,NA,"1132043780658532352",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","pablonegri",11,FALSE,FALSE,NA,NA
"1512","RT @FAO_Colombia: El #CambioClimatico es una gran amenaza para la #SeguridadAlimentaria mundial. Los cambios del uso de suelos son responsa…",FALSE,0,NA,2019-05-24 22:00:15,FALSE,NA,"1132043658537197569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DamarisACastil",3,TRUE,FALSE,NA,NA
"1513","RT @JosepBorrellF: Hay que luchar de manera decidida e inmediata contra el #CambioClimático y aprovechar para transformar la economía crean…",FALSE,0,NA,2019-05-24 21:59:26,FALSE,NA,"1132043453725061125",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ninihelen6",181,TRUE,FALSE,NA,NA
"1514","El #CambioClimatico es una gran amenaza para la #SeguridadAlimentaria mundial. Los cambios del uso de suelos son re… https://t.co/jp7Gi4tgya",FALSE,4,NA,2019-05-24 21:59:04,TRUE,NA,"1132043363291672576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FAO_Colombia",3,FALSE,FALSE,NA,NA
"1515","RT @pablonegri: En el Metro Pedro de Valdivia rumbo a donde NINGUNA @KarlaEnAccion me va a prohibir ir (!)... 2ª Marcha Global Contra la #C…",FALSE,0,NA,2019-05-24 21:58:26,FALSE,NA,"1132043204159782912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gringuitafeliz",13,TRUE,FALSE,NA,NA
"1516","RT @tikopineda: Generciones unidas en la lucha contra los estragos #CambioClimático en #FridaysForFuture Bogotá Colombia
<U+2066>@GretaThunberg<U+2069> h…",FALSE,0,NA,2019-05-24 21:57:53,FALSE,NA,"1132043062786633728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DDiegoeco",2,TRUE,FALSE,NA,NA
"1517","RT @jgaldames7: En reunión con @FAOHonduras y @saghonduras se compartió la idea de incrementar la resiliencia a los efectos negativos del #…",FALSE,0,NA,2019-05-24 21:57:24,FALSE,NA,"1132042941315387393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","orlando_garner",7,TRUE,FALSE,NA,NA
